block,metric,n,note,p,rho
A,coverage,6,,0.021311641128756713,-0.8783100656536799
A,density,6,,0.021311641128756713,-0.8783100656536799
A,diversity,6,,0.021311641128756713,0.8783100656536799
A,precision,6,,0.021311641128756713,-0.8783100656536799
A,psnr,6,,0.021311641128756713,-0.8783100656536799
A,recall,6,,0.021311641128756713,0.8783100656536799
A,ssim,6,,0.021311641128756713,-0.8783100656536799
B,pool_diversity_l1,4,rise-then-plateau threshold shape; ρ understates the dose-response,0.6,0.39999999999999997
C,pool_diversity_l1,4,rise-then-plateau threshold shape; ρ understates the dose-response,0.8,0.19999999999999998
